user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0xc043d0d2ce221c10bb9509bd6884a16776cd5f2d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x645206b8aad85aa63971e7ac6e88abe5458a9694,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb4ef189d3518d323c22129c741b1061b8be18908,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xeba11ff5f277695b648f6d5d0eae89c8da1b6b2e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x109fa21d663587b3d487a7a87876b896c8a2bc7b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x94c4e358d53e5a77a2a9325468fdf958519a939c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xdf03f07b054210004783d07855ddaa4ae149b032,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd3b32677926fad913debcdd1bcc26d2005e51f28,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa872b436a757faaf8e10d7b82c49219d58e6aea8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x09343d7d26057ac4d8ac6abf9cfe104c645bad6b,100,0.167%,836.33,,,,,,,,,,,,,,,,
